ph,turbidity,temperature,potability
7.9,12.37,28.36,True
5.51,134.72,18.24,False
6.79,26.61,27.26,True
7.07,45.56,29.34,True
7.15,17.6,28.94,True
7.46,19.48,29.1,True
5.71,148.1,16.33,False
7.39,48.26,29.27,True
4.68,110.03,19.3,False
7.87,12.72,26.42,True
7.38,30.5,27.07,True
5.27,105.02,15.42,False
6.81,89.46,25.4,True
6.89,30.99,25.75,True
6.68,11.19,25.1,True
5.31,128.46,16.78,False
5.02,105.75,19.1,False
6.62,40.77,25.46,True
7.67,16.19,28.21,True
6.69,29.43,26.63,True
7.21,58.5,25.82,True
7.22,55.37,25.47,True
4.84,121.97,19.17,False
5.04,149.48,19.37,False
4.81,135.49,15.56,False
6.49,121.23,17.67,False
6.02,125.93,16.97,False
6.77,79.62,26.02,True
6.23,128.25,17.51,False
6.33,131.91,18.66,False
7.09,84.52,28.44,True
7.17,43.27,25.62,True
6.82,75.66,27.62,True
5.72,117.66,15.31,False
7.94,60.78,28.79,True
7.45,46.45,26.72,True
5.49,116.16,18.27,False
5.17,140.2,17.0,False
7.85,83.61,26.08,True
7.3,35.56,27.51,True
6.95,13.93,25.55,True
7.36,47.62,26.02,True
4.7,113.11,15.21,False
6.05,144.87,15.5,False
7.35,94.74,26.66,True
6.64,12.12,29.67,True
6.54,81.99,28.38,True
7.36,23.25,28.36,True
7.93,56.07,27.63,True
5.17,101.19,18.58,False
7.26,98.42,28.33,True
7.54,34.78,28.71,True
7.54,58.98,25.89,True
4.89,108.78,16.08,False
6.77,81.79,25.26,True
7.4,9.69,25.92,True
4.71,134.15,18.02,False
7.02,65.94,29.27,True
7.05,73.99,29.49,True
5.23,113.37,17.18,False
7.12,84.03,26.35,True
6.29,115.87,15.83,False
6.97,0.28,29.46,True
6.94,52.68,26.75,True
5.2,114.39,18.86,False
4.69,129.68,17.66,False
6.18,118.78,18.33,False
5.1,108.72,18.92,False
7.46,13.55,28.99,True
7.47,40.44,29.9,True
7.33,38.0,29.22,True
4.65,129.36,15.69,False
7.67,94.56,29.94,True
5.29,131.73,17.55,False
7.69,63.92,27.64,True
5.71,144.04,15.27,False
7.71,10.62,29.25,True
7.67,31.02,26.35,True
6.79,50.83,26.14,True
7.04,97.07,27.49,True
6.99,65.3,29.44,True
5.68,121.95,17.16,False
7.69,53.78,25.67,True
5.79,102.61,15.47,False
5.91,138.19,16.6,False
7.28,28.71,27.62,True
7.9,59.23,27.86,True
7.0,24.26,26.9,True
7.0,44.16,26.92,True
4.58,129.14,18.86,False
7.12,6.09,26.94,True
5.64,102.76,16.38,False
4.59,122.98,16.38,False
7.11,4.03,29.35,True
7.59,11.32,28.96,True
7.62,35.75,28.56,True
5.48,100.45,18.61,False
6.59,13.31,28.11,True
7.43,77.62,26.97,True
7.61,35.14,25.22,True
5.23,116.21,18.18,False
5.11,137.01,18.76,False
5.2,127.48,16.07,False
7.95,75.03,29.65,True
7.58,68.46,27.69,True
7.15,44.8,25.82,True
6.99,6.65,28.95,True
7.36,19.67,27.13,True
5.74,116.84,17.81,False
7.66,54.18,25.59,True
5.3,143.46,15.53,False
7.26,75.42,26.63,True
6.63,16.64,27.85,True
7.11,73.04,25.74,True
6.6,95.96,26.53,True
7.53,60.54,25.39,True
7.51,25.14,28.08,True
6.56,50.99,29.52,True
6.63,68.53,26.09,True
7.21,33.36,28.76,True
7.96,34.29,27.56,True
5.48,119.68,19.22,False
5.6,116.01,17.49,False
5.34,101.5,18.92,False
7.47,65.7,27.45,True
5.1,145.17,17.83,False
7.62,85.49,26.94,True
4.87,147.74,18.47,False
4.62,129.55,18.92,False
7.42,49.83,27.52,True
5.33,137.57,16.7,False
7.94,56.66,29.9,True
6.6,15.56,26.19,True
7.32,83.8,26.14,True
6.34,119.28,18.89,False
6.91,92.68,25.33,True
7.17,28.62,27.46,True
5.26,137.93,17.28,False
6.17,142.52,18.21,False
7.43,25.94,27.72,True
7.83,83.04,25.86,True
7.34,14.64,26.48,True
7.33,95.71,29.15,True
5.55,134.8,16.43,False
7.45,59.29,29.3,True
6.53,86.7,29.35,True
7.17,58.08,28.35,True
5.89,104.98,16.86,False
6.2,134.02,16.82,False
5.41,107.22,19.62,False
6.22,103.02,19.04,False
7.99,19.51,28.34,True
7.19,14.27,28.12,True
7.9,61.61,27.98,True
6.17,110.34,18.15,False
7.33,75.82,28.18,True
7.3,46.08,27.12,True
6.02,142.4,18.04,False
4.55,132.5,16.96,False
7.0,20.89,27.91,True
6.1,128.81,18.76,False
7.56,81.38,28.94,True
7.28,18.59,29.07,True
6.52,10.67,26.84,True
6.2,133.63,18.27,False
5.13,119.8,17.67,False
6.15,120.83,15.21,False
6.57,25.69,26.44,True
7.65,28.98,25.08,True
4.81,148.77,18.88,False
7.36,26.48,27.01,True
6.61,80.86,29.9,True
4.55,113.67,16.77,False
7.74,86.44,29.86,True
6.07,139.99,15.18,False
7.65,29.69,27.71,True
6.97,76.89,26.08,True
6.83,89.31,28.12,True
4.8,118.64,19.84,False
6.58,64.76,28.67,True
5.1,144.94,17.83,False
5.39,120.22,17.32,False
5.59,127.83,16.56,False
5.06,138.81,17.36,False
6.91,34.84,27.07,True
7.2,72.94,27.74,True
4.86,120.01,19.43,False
7.33,29.71,27.26,True
7.63,91.91,26.96,True
6.52,64.44,27.15,True
5.66,112.72,18.76,False
5.32,104.16,17.74,False
4.81,140.36,19.55,False
6.42,115.11,18.41,False
5.13,132.78,17.21,False
7.98,68.29,28.44,True
6.01,112.39,16.4,False
6.51,65.88,29.27,True
7.85,83.74,27.05,True
5.97,149.36,16.45,False
7.47,40.42,25.72,True
6.36,105.02,16.29,False
7.6,20.89,27.59,True
6.98,45.55,25.6,True
7.32,6.1,27.68,True
7.54,78.18,29.1,True
5.09,118.66,17.56,False
6.88,51.97,26.06,True
4.64,136.42,17.23,False
7.79,9.84,26.68,True
6.98,57.26,28.03,True
6.5,43.92,28.7,True
4.84,125.96,17.08,False
6.27,106.04,18.81,False
7.09,13.81,29.79,True
7.44,63.58,27.26,True
6.86,1.65,28.05,True
7.05,64.98,29.51,True
7.79,9.72,25.13,True
7.12,21.71,26.28,True
5.33,133.55,19.54,False
5.36,110.38,17.24,False
7.46,45.83,26.06,True
7.8,31.67,25.92,True
6.88,78.9,26.69,True
5.59,149.33,16.81,False
6.79,41.01,27.62,True
7.05,28.71,25.54,True
6.38,111.82,19.04,False
5.67,129.38,17.19,False
7.66,8.04,26.95,True
7.37,89.82,28.05,True
7.45,38.74,26.78,True
7.91,72.35,27.29,True
7.87,4.33,27.87,True
5.71,134.99,16.78,False
6.69,10.61,26.09,True
6.51,92.33,29.4,True
4.76,131.92,17.49,False
6.5,63.99,27.11,True
6.51,59.79,28.55,True
7.17,15.94,27.38,True
7.86,51.12,26.92,True
6.45,102.67,16.05,False
5.33,119.22,16.92,False
7.12,17.45,25.3,True
5.66,103.83,15.36,False
4.51,129.29,19.86,False
7.77,36.7,26.61,True
5.37,135.28,19.57,False
7.87,39.23,25.44,True
6.35,104.75,18.28,False
7.38,83.41,28.31,True
7.32,67.68,25.1,True
7.08,65.71,27.04,True
5.82,115.05,16.77,False
4.94,125.67,15.64,False
6.34,146.04,17.73,False
7.04,15.71,27.85,True
7.6,38.74,25.39,True
7.49,84.24,26.96,True
4.66,101.42,19.39,False
6.95,64.25,26.15,True
6.13,116.01,15.66,False
6.6,56.8,29.46,True
7.64,86.17,25.54,True
6.88,24.84,28.46,True
6.98,73.15,29.11,True
7.68,39.95,27.07,True
7.36,10.96,26.2,True
5.85,121.68,15.03,False
6.17,119.21,19.14,False
5.93,115.74,18.14,False
7.77,30.32,29.14,True
7.41,99.0,28.53,True
6.66,0.35,29.62,True
7.16,4.9,25.79,True
6.69,85.51,28.94,True
6.78,43.38,25.92,True
6.91,64.97,28.09,True
6.85,89.39,26.64,True
4.58,141.42,19.32,False
5.9,140.89,19.34,False
4.9,128.9,18.39,False
4.72,101.8,19.53,False
4.61,126.58,18.04,False
6.76,38.83,28.53,True
7.27,32.18,28.92,True
5.32,123.39,15.53,False
7.65,86.61,28.31,True
7.04,65.57,25.4,True
6.56,55.97,29.19,True
7.28,92.57,29.95,True
7.99,35.42,27.63,True
7.99,87.02,28.79,True
5.02,138.82,15.34,False
4.57,107.74,20.0,False
6.67,86.55,26.99,True
7.06,78.45,25.76,True
5.14,149.71,15.69,False
6.65,67.44,25.31,True
7.4,53.93,28.43,True
5.53,113.94,15.46,False
5.38,115.67,15.51,False
6.77,95.96,27.23,True
7.69,75.1,25.13,True
7.5,69.45,25.14,True
6.16,134.56,18.69,False
6.99,74.85,25.13,True
7.91,64.38,27.27,True
7.8,7.38,26.38,True
5.94,141.74,18.77,False
5.61,128.86,15.6,False
5.37,108.13,15.65,False
6.58,34.05,26.38,True
7.61,19.85,29.05,True
7.13,2.59,28.2,True
4.68,118.28,16.05,False
7.51,42.73,25.34,True
6.53,13.51,29.17,True
6.3,149.73,16.7,False
6.84,53.77,25.14,True
7.74,16.61,28.88,True
7.19,84.36,25.09,True
7.34,87.94,28.01,True
5.18,129.82,16.58,False
6.53,87.16,26.45,True
7.46,75.27,25.97,True
7.83,98.47,29.11,True
6.99,34.11,29.63,True
5.77,103.62,17.85,False
7.18,64.57,26.26,True
7.46,45.67,26.18,True
5.53,144.92,17.7,False
6.55,33.72,29.14,True
6.84,79.32,25.96,True
7.33,81.98,27.89,True
7.59,43.62,28.72,True
4.99,100.35,18.4,False
4.54,101.96,18.7,False
6.15,142.45,16.93,False
7.25,13.97,26.23,True
7.7,96.15,28.71,True
6.0,102.26,19.98,False
6.8,50.47,28.54,True
7.29,69.64,27.04,True
5.99,129.11,16.34,False
6.71,86.49,28.31,True
6.92,75.94,25.15,True
4.64,144.4,15.89,False
7.29,92.7,28.75,True
6.81,93.64,25.9,True
6.49,114.8,15.09,False
7.22,11.84,26.97,True
6.63,77.03,27.05,True
6.95,41.59,28.09,True
4.91,140.22,16.96,False
7.54,7.16,29.87,True
6.42,148.02,17.08,False
7.0,87.09,25.62,True
7.77,92.71,28.51,True
5.76,123.92,15.15,False
6.63,28.39,28.6,True
6.55,10.33,25.12,True
6.23,120.06,19.11,False
6.62,95.58,27.9,True
6.86,11.41,28.66,True
6.12,149.85,16.02,False
4.86,132.17,19.77,False
7.89,88.1,28.89,True
6.97,93.09,27.6,True
7.25,98.84,27.91,True
7.47,99.08,29.67,True
7.92,51.87,27.04,True
5.71,130.94,15.55,False
7.5,29.4,25.39,True
7.35,84.53,27.92,True
5.46,136.84,16.19,False
4.62,108.88,19.08,False
5.98,107.68,18.6,False
5.69,136.02,16.33,False
6.2,115.18,19.46,False
7.74,23.42,25.47,True
5.73,116.85,19.98,False
7.07,96.26,28.81,True
7.78,23.26,26.62,True
7.87,94.92,29.77,True
4.68,103.06,17.62,False
5.59,141.11,16.77,False
7.05,39.29,28.89,True
7.37,99.34,27.7,True
7.16,14.99,25.3,True
7.61,71.06,29.9,True
7.57,74.02,25.26,True
6.46,122.14,18.05,False
7.83,23.88,28.04,True
6.61,83.28,29.32,True
6.61,78.87,29.87,True
6.56,91.26,25.39,True
6.35,144.85,18.54,False
7.33,14.53,25.05,True
7.98,84.05,25.97,True
7.98,35.05,28.69,True
5.9,105.91,17.12,False
7.19,33.07,27.84,True
6.55,10.9,27.02,True
5.24,111.45,15.87,False
7.83,92.54,27.87,True
6.07,100.81,18.31,False
7.8,36.42,29.49,True
8.0,0.59,26.58,True
7.5,60.73,25.92,True
7.88,63.03,29.17,True
6.82,14.94,26.44,True
7.16,53.76,27.04,True
4.53,137.71,16.48,False
6.91,82.24,26.02,True
7.06,91.22,28.4,True
7.88,77.95,27.93,True
6.65,87.39,26.79,True
6.61,16.29,27.02,True
7.51,37.1,27.48,True
7.0,84.73,29.61,True
7.93,88.86,26.85,True
5.15,144.29,18.14,False
6.82,45.24,25.09,True
7.3,91.09,29.86,True
5.79,107.89,18.57,False
6.89,31.07,26.06,True
4.74,123.35,19.36,False
6.95,40.76,28.83,True
7.35,44.65,25.7,True
6.15,106.97,18.34,False
5.98,104.25,15.74,False
5.99,140.1,18.33,False
5.42,133.55,15.63,False
7.18,4.42,28.24,True
6.1,130.39,17.28,False
6.95,77.05,28.17,True
7.59,89.83,29.48,True
4.79,130.47,19.54,False
7.46,73.63,27.32,True
5.89,109.72,19.18,False
5.14,102.52,19.05,False
4.92,107.31,15.73,False
7.67,86.99,25.84,True
6.95,90.82,29.97,True
6.39,142.66,15.16,False
7.7,14.45,28.84,True
7.47,82.72,29.97,True
6.98,8.71,25.46,True
7.36,20.38,27.97,True
7.31,84.22,27.24,True
6.82,88.89,27.27,True
5.12,109.79,16.51,False
7.49,82.63,29.84,True
7.33,73.17,25.36,True
7.25,38.78,29.48,True
6.98,20.48,28.72,True
6.93,15.11,28.48,True
7.79,11.36,25.58,True
7.04,31.7,26.6,True
4.65,143.3,17.7,False
4.57,144.02,15.98,False
6.95,76.96,26.85,True
5.98,106.44,15.98,False
5.12,130.4,19.44,False
7.24,74.56,29.76,True
5.37,135.44,17.82,False
5.2,100.81,16.16,False
6.55,55.47,28.35,True
6.54,86.63,29.01,True
7.32,43.03,26.7,True
4.79,114.35,19.64,False
7.82,65.0,25.89,True
6.89,17.6,26.54,True
4.62,134.64,18.48,False
5.46,148.85,16.96,False
7.01,61.8,26.98,True
7.99,40.94,26.11,True
7.82,8.29,26.99,True
6.78,18.54,25.05,True
6.96,91.51,29.05,True
7.5,82.2,26.86,True
6.26,103.19,18.5,False
4.59,140.44,16.99,False
5.47,100.15,16.16,False
4.54,122.57,18.11,False
7.2,94.72,27.64,True
4.69,103.06,15.81,False
5.01,125.85,18.11,False
7.36,89.08,29.92,True
7.41,36.82,25.23,True
5.18,139.35,17.15,False
7.44,63.01,26.43,True
5.9,104.16,19.13,False
6.23,134.9,17.78,False
6.61,18.73,28.09,True
5.01,114.5,18.81,False
4.91,147.11,19.59,False
6.77,15.5,26.78,True
6.83,40.36,26.44,True
7.09,61.37,28.99,True
5.27,122.8,19.9,False
7.51,99.58,26.3,True
6.52,17.31,25.22,True
5.4,131.58,16.61,False
7.2,97.79,27.45,True
6.9,95.57,28.99,True
7.28,41.33,27.47,True
7.89,63.79,28.65,True
6.29,111.93,17.96,False
7.98,89.89,27.29,True
7.38,9.82,29.57,True
6.53,92.06,25.55,True
6.75,81.54,25.74,True
5.38,145.97,16.43,False
7.56,19.05,29.33,True
7.68,22.5,29.92,True
5.37,125.22,19.62,False
7.74,30.78,25.22,True
6.43,133.96,15.11,False
6.62,48.0,25.8,True
6.19,104.42,19.96,False
6.51,40.45,28.22,True
6.64,14.23,27.06,True
7.16,95.56,27.23,True
5.81,111.73,19.56,False
7.68,40.87,27.95,True
7.9,12.95,28.57,True
7.05,14.2,26.83,True
4.66,126.77,17.54,False
5.98,135.7,16.74,False
4.66,137.09,16.34,False
7.76,19.4,28.92,True
5.85,141.94,15.61,False
6.07,106.15,16.21,False
4.61,115.93,16.32,False
7.66,64.88,25.11,True
5.98,100.61,15.05,False
4.86,108.64,18.25,False
7.04,11.98,26.66,True
7.19,64.06,29.18,True
7.98,39.86,25.4,True
5.04,136.6,17.16,False
7.97,56.52,27.3,True
6.77,7.41,27.7,True
4.89,108.65,18.06,False
6.65,5.19,28.85,True
5.61,137.19,15.72,False
7.45,41.97,27.57,True
4.75,103.89,19.91,False
4.84,134.44,18.85,False
6.86,12.15,26.83,True
5.15,131.17,19.81,False
7.88,77.95,28.13,True
4.63,131.45,16.63,False
4.65,140.12,18.53,False
4.86,107.99,18.39,False
6.81,65.74,28.24,True
5.07,108.37,16.48,False
7.22,51.25,29.68,True
7.16,51.52,25.71,True
6.73,11.21,29.02,True
7.23,42.43,29.87,True
6.26,120.23,15.68,False
7.44,66.34,29.28,True
7.93,63.1,28.36,True
6.21,100.3,15.99,False
7.16,91.38,25.15,True
5.11,109.2,16.87,False
7.86,10.26,26.71,True
5.23,106.62,15.99,False
7.47,91.6,26.07,True
7.97,79.34,27.29,True
7.7,59.76,25.79,True
6.67,76.9,28.54,True
7.52,53.44,29.21,True
7.73,65.62,26.08,True
5.05,115.45,15.2,False
7.63,84.28,26.25,True
7.39,61.33,28.51,True
5.21,106.95,17.59,False
7.1,55.45,27.82,True
7.33,73.49,27.63,True
5.91,132.42,16.15,False
7.18,24.2,29.12,True
4.87,101.1,19.59,False
5.38,125.94,17.24,False
7.66,53.33,29.6,True
6.03,139.49,15.95,False
4.73,106.01,17.8,False
6.56,87.66,28.92,True
7.65,57.88,29.88,True
4.52,108.9,19.57,False
8.0,15.77,25.78,True
7.21,38.55,25.38,True
5.85,128.37,20.0,False
6.11,126.95,19.59,False
7.21,35.78,27.33,True
6.83,94.57,26.38,True
6.74,2.81,29.71,True
7.86,81.59,29.57,True
6.73,25.87,27.51,True
5.87,121.41,19.67,False
4.78,101.99,16.7,False
7.44,35.36,28.72,True
6.78,19.17,26.63,True
7.03,71.11,27.16,True
6.88,75.97,27.77,True
7.99,88.3,25.39,True
6.79,57.93,26.23,True
5.28,130.13,18.86,False
5.61,108.33,15.24,False
5.68,144.51,15.11,False
5.12,125.11,15.41,False
6.37,107.6,19.99,False
4.63,145.34,17.24,False
5.59,127.83,19.09,False
4.6,131.78,16.65,False
5.03,134.4,16.58,False
5.85,143.83,15.2,False
4.56,117.38,16.63,False
7.8,54.09,27.85,True
6.76,11.83,29.03,True
5.79,113.44,17.48,False
7.06,26.46,28.29,True
4.51,134.4,17.64,False
5.35,110.8,16.32,False
6.7,65.17,26.72,True
6.15,119.8,17.27,False
4.53,123.9,19.01,False
4.51,106.24,18.8,False
6.99,11.18,25.71,True
7.97,89.27,29.3,True
7.62,49.01,25.45,True
7.11,47.77,25.81,True
6.49,138.57,18.44,False
7.79,39.37,29.73,True
6.4,148.12,17.17,False
7.97,85.6,26.36,True
5.33,104.38,16.46,False
4.9,122.36,15.77,False
6.23,114.27,16.64,False
7.47,74.92,27.28,True
7.0,97.86,28.82,True
6.54,55.96,29.71,True
5.3,110.82,15.68,False
7.32,43.16,28.17,True
6.09,121.92,16.2,False
5.63,123.54,18.51,False
5.67,106.02,16.35,False
7.53,87.21,27.19,True
7.86,96.98,27.88,True
5.9,133.42,19.67,False
6.64,6.63,25.62,True
4.7,102.58,17.34,False
6.98,4.63,28.98,True
5.42,145.8,17.52,False
7.88,5.37,28.32,True
7.39,86.43,26.53,True
7.66,44.87,27.34,True
5.62,145.0,19.18,False
5.06,142.82,17.16,False
5.48,106.0,16.74,False
7.26,99.27,27.73,True
6.19,115.4,15.31,False
7.99,62.72,27.78,True
6.7,88.16,25.46,True
5.82,112.73,19.78,False
4.6,106.21,16.35,False
6.31,110.7,18.5,False
7.5,99.7,26.32,True
4.78,127.63,16.74,False
6.71,82.69,27.29,True
6.41,129.1,17.12,False
7.15,49.1,25.03,True
4.62,128.26,17.26,False
4.64,115.75,19.95,False
5.92,148.16,18.03,False
4.6,141.34,18.49,False
7.02,23.65,26.87,True
7.54,29.5,29.82,True
6.7,46.21,28.17,True
7.57,74.35,27.27,True
4.64,136.56,17.86,False
6.9,18.02,29.51,True
6.25,148.72,16.92,False
7.4,30.95,29.95,True
7.62,87.47,26.06,True
6.64,77.65,28.1,True
6.03,121.9,15.34,False
7.39,87.58,27.19,True
7.1,31.92,25.52,True
7.71,38.36,28.81,True
5.42,113.43,18.4,False
7.24,75.19,27.58,True
6.84,84.67,29.53,True
4.86,109.03,19.4,False
7.13,63.86,26.85,True
5.17,107.46,19.88,False
7.41,9.03,25.07,True
5.64,145.38,19.46,False
7.0,63.44,28.06,True
7.69,41.23,29.65,True
7.41,74.19,28.25,True
4.98,137.52,18.83,False
6.96,47.71,25.36,True
5.15,117.35,15.8,False
6.83,84.39,29.46,True
7.37,40.42,28.67,True
7.66,69.95,28.52,True
5.74,135.96,15.1,False
7.84,26.48,27.59,True
7.04,80.56,29.48,True
7.89,33.18,29.97,True
5.08,126.55,19.21,False
7.9,46.98,29.67,True
5.36,103.3,18.11,False
7.1,12.79,27.06,True
7.66,15.13,28.14,True
7.23,66.36,25.74,True
7.62,2.76,28.98,True
5.82,101.85,17.46,False
7.15,18.82,28.66,True
7.02,58.64,28.9,True
7.7,34.63,29.1,True
7.85,62.35,25.47,True
4.85,135.2,19.93,False
7.36,31.28,25.61,True
6.71,37.6,28.77,True
4.7,107.39,15.5,False
7.88,97.77,25.24,True
7.41,80.56,27.58,True
7.56,91.53,28.56,True
7.1,30.0,28.33,True
6.51,79.25,25.45,True
7.87,48.14,28.95,True
7.91,68.48,26.82,True
7.5,7.67,25.17,True
6.69,56.9,28.79,True
6.54,28.26,27.93,True
4.52,139.72,17.9,False
4.54,132.83,19.37,False
4.69,149.65,15.08,False
5.66,130.9,17.69,False
6.93,68.56,27.87,True
7.1,35.49,26.83,True
5.61,124.48,17.0,False
6.12,119.33,16.99,False
4.63,117.71,17.96,False
6.52,10.63,26.85,True
6.94,45.67,28.46,True
6.84,73.27,28.25,True
5.06,133.95,19.56,False
6.41,113.71,15.92,False
5.72,148.24,15.45,False
5.03,145.07,15.61,False
6.98,51.49,28.24,True
5.32,135.31,19.41,False
6.65,11.69,28.77,True
7.37,31.28,26.25,True
5.57,133.88,15.05,False
5.46,113.39,18.06,False
5.13,109.66,19.16,False
7.1,67.62,28.29,True
5.67,145.7,19.72,False
7.52,3.81,29.36,True
5.05,134.78,15.17,False
7.88,25.93,25.12,True
6.72,65.05,29.11,True
4.87,107.65,18.33,False
7.11,96.84,28.41,True
5.29,107.2,17.84,False
6.55,90.69,26.08,True
7.38,7.97,25.6,True
7.81,71.65,25.39,True
6.14,100.69,18.13,False
7.06,75.93,28.45,True
7.0,62.57,26.0,True
6.51,68.62,26.6,True
7.62,24.96,26.21,True
4.57,143.92,18.51,False
6.53,25.02,26.47,True
5.52,147.72,16.49,False
4.9,128.78,18.67,False
6.97,24.37,28.83,True
7.84,52.16,28.42,True
7.04,85.22,29.19,True
7.76,67.19,26.49,True
6.62,92.73,29.9,True
5.57,100.24,15.64,False
7.53,38.26,28.23,True
7.55,54.12,28.79,True
7.78,25.11,29.74,True
5.48,136.99,18.86,False
4.59,117.21,17.58,False
6.88,66.01,27.17,True
7.71,47.43,30.0,True
6.86,75.38,29.29,True
7.45,74.55,27.44,True
7.8,64.34,28.48,True
5.68,103.45,16.54,False
7.29,52.8,29.26,True
7.17,99.41,29.1,True
5.65,134.94,18.67,False
7.69,55.33,26.34,True
7.28,27.03,29.58,True
6.46,142.74,15.91,False
7.48,69.59,28.64,True
7.99,42.27,26.64,True
4.8,119.82,19.99,False
7.0,61.77,26.16,True
6.82,10.87,26.95,True
6.73,42.4,28.72,True
7.03,18.85,29.06,True
7.06,54.76,29.87,True
4.85,125.21,17.28,False
6.91,63.69,26.06,True
7.47,2.19,25.26,True
5.43,104.6,17.49,False
7.71,58.15,26.81,True
7.73,0.05,27.79,True
6.2,130.82,18.11,False
5.28,129.25,17.81,False
7.16,17.57,26.2,True
7.39,64.64,27.71,True
7.07,77.83,26.05,True
4.62,128.41,18.35,False
6.18,100.29,19.01,False
5.72,104.86,16.86,False
7.23,51.18,27.89,True
7.79,65.54,28.94,True
4.5,147.97,15.97,False
5.29,112.79,17.85,False
7.96,91.57,25.71,True
7.14,27.17,28.39,True
7.03,36.71,25.7,True
6.93,87.75,28.19,True
7.64,73.7,28.09,True
7.94,51.16,25.1,True
7.28,27.87,28.94,True
7.8,31.79,28.51,True
5.6,128.46,19.25,False
7.31,22.44,25.68,True
7.87,1.96,26.07,True
6.61,97.89,29.71,True
6.69,66.36,28.74,True
7.2,15.51,29.8,True
7.66,52.44,25.67,True
7.23,9.5,29.71,True
6.91,53.88,27.96,True
6.6,62.44,27.07,True
7.98,79.37,26.39,True
7.22,92.32,29.84,True
6.89,70.77,28.78,True
4.76,146.74,15.1,False
7.78,6.65,29.99,True
6.91,13.14,26.38,True
6.08,117.05,15.19,False
7.09,59.73,25.92,True
7.77,39.25,27.78,True
6.96,80.22,27.9,True
5.23,138.45,17.37,False
6.83,32.88,27.86,True
7.26,77.06,27.33,True
6.66,40.04,28.36,True
7.38,14.8,28.15,True
4.98,149.92,15.72,False
6.78,9.64,26.77,True
7.99,85.64,25.89,True
7.72,32.06,26.48,True
6.03,105.92,17.34,False
7.17,20.95,27.3,True
7.68,61.15,29.42,True
6.7,51.45,28.51,True
7.29,28.94,26.45,True
7.52,95.49,28.88,True
6.63,38.87,29.4,True
6.46,135.25,16.75,False
4.72,139.87,16.89,False
